CC Nombre,CC,DM,Fecha de Apertura,Rolling,TPLH,IPLH,Labor,Dif Labor%,Ventas,Dif ppto%,OMT #,NPS,Conexión,Bebida,CTC,Costo,Dif costo%,EBITDA,Dif EBITDA %,DT Time,Tiempo DT AA,Municipio o Delegación,Cobertura,Formato,Formato - Comercial,TIER,Corte YTD,Latitud,Longitud
ITEMS Edo de Mexico,38230,Nancy Rodríguez,07/05/2007,42.70%,7.7,14.1,18.60%,-2.30%,$4.6M,11.50%,12.2,66.7,55.30%,67.00%,9.70%,34.70%,-4.00%,25.80%,11.70%,No hay valores,No hay valores,Atizapan De Zaragoza,Estado De México,Cafe,Education,C1,30/04/2026,19.59795983,-99.22645569
Jinetes,38661,Nancy Rodríguez,12/08/2016,23.50%,6,14.9,15.60%,-0.60%,$6.0M,-2.70%,-24,65.5,55.20%,66.00%,15.50%,35.90%,0.30%,17.70%,-0.30%,No hay valores,No hay valores,Atizapan De Zaragoza,Estado De México,Cafe,Neighborhood,C1,30/04/2026,19.55998726,-99.22017395
Mundo E,38674,Nancy Rodríguez,19/09/2016,55.30%,5.8,13.9,18.40%,2.50%,$4.9M,-17.60%,-52.4,70.8,45.50%,61.00%,13.40%,37.00%,1.10%,18.00%,-3.80%,No hay valores,No hay valores,Tlalnepantla,Estado De México,Cafe,Mall,C1,30/04/2026,19.52606457,-99.22811955
Mundo E II,38845,Nancy Rodríguez,08/12/2018,64.40%,6.1,13.4,18.20%,1.10%,$4.4M,-15.30%,112.1,73.4,48.60%,56.00%,6.90%,37.30%,1.50%,19.30%,-3.80%,No hay valores,No hay valores,Tlalnepantla,Estado De México,Kiosko ,Mall,C1,30/04/2026,19.52497104,-99.22911025
Pasaje Tlanepantla,38792,Nancy Rodríguez,15/05/2018,66.40%,5.8,13.2,17.90%,-0.50%,$4.8M,-8.80%,-27,68.1,54.00%,63.00%,7.90%,40.20%,0.90%,14.40%,1.30%,No hay valores,No hay valores,Tlalnepantla,Estado De México,Cafe,Mall,C1,30/04/2026,19.54010506,-99.21541073
Punta Norte,38136,Nancy Rodríguez,09/12/2004,42.80%,5.3,14.9,16.00%,-2.10%,$5.5M,1.60%,-12.5,74.5,51.40%,63.00%,9.80%,35.50%,-1.40%,18.40%,16.80%,No hay valores,No hay valores,Cuatitlan Izcalli,Estado De México,Cafe,Mall,C2,30/04/2026,19.6023276,-99.19151696
Santa Monica,38460,Nancy Rodríguez,23/08/2012,14.20%,5.3,13.4,16.10%,-0.80%,$5.6M,-0.20%,-7.7,80.1,61.10%,64.00%,7.30%,36.60%,0.20%,15.80%,2.20%,No hay valores,No hay valores,Tlalnepantla,Estado De México,Cafe,Neighborhood,C2,30/04/2026,19.52812104,-99.22818709
Sor Juana,38442,Nancy Rodríguez,19/12/2011,55.80%,5.9,15.1,14.30%,0.70%,$8.6M,-0.20%,-28.2,78.8,59.40%,71.00%,10.00%,35.00%,-2.40%,26.10%,3.00%,No hay valores,No hay valores,Tlalnepantla,Estado De México,Cafe,Street,C2,30/04/2026,19.53858646,-99.19931536
TlalnepantlaCarso,38606,Nancy Rodríguez,08/09/2015,27.60%,6.8,16.4,14.40%,-0.20%,$9.3M,0.10%,36.6,72.1,46.90%,65.00%,7.30%,37.10%,-0.30%,24.20%,0.20%,No hay valores,No hay valores,Tlalnepantla,Estado De México,Cafe,Mall,C1,30/04/2026,19.53820969,-99.20631362
Valle Dorado,38374,Nancy Rodríguez,28/03/2010,17.80%,5.2,12.5,18.80%,2.40%,$4.1M,-10.90%,-10.2,68.1,56.60%,65.00%,12.10%,37.00%,-1.30%,16.80%,-0.50%,No hay valores,No hay valores,Tlalnepantla,Estado De México,Cafe,Shopping Center,C2,30/04/2026,19.54745096,-99.21034463
Villas de la Hacienda,38694,Nancy Rodríguez,17/12/2016,16.20%,5.9,14.7,14.10%,0.10%,$7.9M,3.00%,-7.8,70.3,51.40%,66.00%,3.30%,35.00%,-1.10%,21.20%,2.70%,No hay valores,No hay valores,Atizapan De Zaragoza,Estado De México,Cafe,Hypermarket,C2,30/04/2026,19.60704127,-99.22930698
Atana Lindavista ,43194,Vanessa Carreño,25/01/2026,8.60%,5.9,12.7,16.10%,-7.30%,$3.2M,5.90%,176.9,79.8,53.30%,72.00%,7.50%,35.70%,2.80%,32.30%,8.80%,No hay valores,No hay valores,Gustavo A. Madero,Ciudad De México,Kiosko ,Hypermarket,C2,30/04/2026,19.51739925,-99.14272428
Camarones,38527,Vanessa Carreño,10/01/2014,30.00%,6.8,16.7,12.90%,-6.50%,$12.7M,41.90%,-4.5,52.5,39.20%,47.00%,7.90%,35.50%,2.00%,29.80%,4.60%,01:25,01:21,Azcapotzalco,Ciudad De México,Drive_Thru,Neighborhood,C2,30/04/2026,19.47180993,-99.1800422
